No.,SD#,Date,Description,Part Number,Serial Number,Item Condition,Unit Value,Qty,Unit,Total,Origin,Destination,Remark
139,2174/SD/SPR/2143,3-Oct-16,TREAD LUBE,2612,N/A,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
140,2174/SD/SPR/2144,3-Oct-16,NOSE TYRE,505C61-8,52492204,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
141,2174/SD/SPR/2145,3-Oct-16,MAIN TYRE,606C66-8,50932030,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
142,2174/SD/SPR/2146,3-Oct-16,NOSE TYRE,505C61-8,32802437,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
143,2174/SD/SPR/2147,3-Oct-16,OIL FILTER,CH48110-1,N/A,Serviceable,1,12,EA,12,WISNU,BANYUWANGI,
144,2174/SD/SPR/2148,3-Oct-16,SWITCH PTT,S2870-1,N/A,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
145,2174/SD/SPR/2149,3-Oct-16,MAIN TYRE,606C66-8,50932468,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
146,2174/SD/SPR/2150,5-Oct-16,CYLINDER ASSY,05K21100,N/A,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
147,2174/SD/SPR/2151,5-Oct-16,STARTER,149-NLR,FNR-051203,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
148,2174/SD/SPR/2152,5-Oct-16,SPARK PLUG,RHB32E,N/A,Serviceable,1,8,EA,8,WISNU,BANYUWANGI,
149,2174/SD/SPR/2153,3-Oct-16,SCREW,AN525-832R7,N/A,Serviceable,1,50,EA,50,WISNU,BANYUWANGI,
150,2174/SD/SPR/2154,5-Oct-16,NIPPLE,AN4022-1,N/A,Serviceable,1,2,EA,2,WISNU,BANYUWANGI,
151,2174/SD/SPR/2155,26-Nov-16,TRANSPONDER KT76A,066-1062-00,90164,Unserviceable,1,1,EA,1,BANYUWANGI,WISNU,
152,2174/SD/SPR/2156,4-Nov-16,GYRO HORIZON,RCA22-7,24E0302G,Serviceable,1,1,EA,1,JEMBER,BANYUWANGI,
153,2174/SD/SPR/2157,14-Nov-16,ANTENNA LOOP ADF,41000-1000,39966,Unserviceable,1,1,EA,1,SOLO,WISNU,
154,2174/SD/SPR/2158,14-Nov-16,NAV/COMM KX155A,069-01032-0201,12779,Serviceable,1,1,EA,1,SOLO,WISNU,
155,2174/SD/SPR/2159,2-Sep-16,BATTERY,G243D,G02909267,Serviceable,1,1,EA,1,WISNU,JEMBER,
156,2174/SD/SPR/2160,2-Sep-16,VOLTAGE REGULATOR,VR515GA,J110416,Serviceable,1,1,EA,1,WISNU,JEMBER,
157,2174/SD/SPR/2161,2-Sep-16,STARTER,149-NL,FN-021670,Serviceable,1,1,EA,1,WISNU,JEMBER,
158,2174/SD/SPR/2162,2-Sep-16,NAV/COMM KX155A,069-01032-0101,27009,Serviceable,1,1,EA,1,WISNU,JEMBER,
159,2174/SD/SPR/2163,2-Sep-16,NAV/COMM KX-155,069-1024-43,120737,Serviceable,1,1,EA,1,WISNU,JEMBER,
160,2174/SD/SPR/2164,2-Sep-16,MAGNETO,4371,15030166,Serviceable,1,1,EA,1,WISNU,JEMBER,
161,2174/SD/SPR/2165,2-Sep-16,CARBURATOR,10-5217-H,MSB16804,Serviceable,1,1,EA,1,WISNU,JEMBER,
162,2174/SD/SPR/2166,2-Sep-16,GYRO HORIZON,RCA22-7,24E0302G,Serviceable,1,1,EA,1,WISNU,JEMBER,
163,0/SD/ME/2016,4-Nov-16,STARTER,149-NLR,FNR-051203,Serviceable,1,1,EA,1,BANYUWANGI,LOMBOK,
,Total,,,,,,523,"1,538.00",,"65,130.00",,,
