GROUP,DESCRIPTION,P/N,ALT P/N,S/N,MIN QTY,UNIT,CONDITION,WAREHOUSE,STORES,QTY,EXPIRED DATE,GRN NO,VENDOR,RECEIVED DATE,RECEIVED BY,ORDER NUMBER,REFERENCE NUMBER,AWB NUMBER,REMARK,UNIT VALUE
COP,CESSNA BAFFLE SET,C172P-BRK343150,,N/A,,EA,Serviceable,,H1-4,6,,1559/GRN/SPR/2016,N/A,22-Nov-16,BOBBY,N/A,N/A,N/A,,
REP,A/H INDICATOR,102-007-03,,210B044,,EA,Unserviceable,,C3-2,1,,1558/GRN/SPR/2016,N/A,22-Nov-16,BOBBY,N/A,N/A,N/A,,
ROT,ALTERNATOR,DOFF10300BR,,H-M061890,,EA,Serviceable,,D4,1,,1558/GRN/SPR/2016,N/A,22-Nov-16,BOBBY,N/A,N/A,N/A,,
REP,INTERCOM,SPA-400,,66644,,EA,Serviceable,,C3-1,1,,1558/GRN/SPR/2016,N/A,22-Nov-16,BOBBY,N/A,N/A,N/A,,
REP,INTERCOM,SPA-400,,6048393,,EA,Serviceable,,C3-1,1,,1558/GRN/SPR/2016,N/A,22-Nov-16,BOBBY,N/A,N/A,N/A,,
REP,INTERCOM,SPA-400,,6068105,,EA,Serviceable,,C3-1,1,,1558/GRN/SPR/2016,N/A,22-Nov-16,BOBBY,N/A,N/A,N/A,,
REP,INTERCOM,SPA-400,,66908,,EA,Serviceable,,C3-1,1,,1558/GRN/SPR/2016,N/A,22-Nov-16,BOBBY,N/A,N/A,N/A,,
COP,BOLT,AN7-45A,,N/A,,EA,Serviceable,,A3-13,10,,1557/GRN/SPR/2016,AVION LOGISTICS,18-Nov-16,BOBBY,POM1116,INV/970012294,DHL#5067771306,,
COP,CABLE,11-05651 FT,,N/A,,FEET,Serviceable,,H4-2,100,,1557/GRN/SPR/2016,AVION LOGISTICS,18-Nov-16,BOBBY,POM1109,INV/970012293,DHL#5067771306,,
COP,CIRCUIT BREAKER,11-08398,,N/A,,EA,Serviceable,,A2-4,3,,1557/GRN/SPR/2016,AVION LOGISTICS,18-Nov-16,BOBBY,POM1131,INV/970012292,DHL#5067771306,,
COP,MOUNT HYDROULIC,96902-000,,N/A,,EA,Serviceable,,G2,1,,1383/GRN/ME/2016,HAWKER PACIFIC PTY LTD,18-Nov-16,BOBBY,POM1131,INV/149831,DHL#2804506751,,
COP,ADROX,6025,,N/A,,PAIL,Serviceable,,FLAMABLE ROOM,1,,1555/GRN/SPR/2016,LUBRINDO JAYA,18-Nov-16,BOBBY,POM1127,DN/16-11-1096,N/A,,
COP,GREASE 22,MIL-PRF-81322,,N/A,,CAN,Serviceable,,FLAMABLE ROOM,2,,1555/GRN/SPR/2016,LUBRINDO JAYA,18-Nov-16,BOBBY,POM1127,DN/16-11-1096,N/A,,
COP,HYDRAULIC FLUID,MIL-PRF-5606,,N/A,,LITER,Serviceable,,FLAMABLE ROOM,6,,1555/GRN/SPR/2016,LUBRINDO JAYA,18-Nov-16,BOBBY,POM1127,DN/16-11-1096,N/A,,
COP,OIL ENGINE,ASW100,,N/A,,LTR,Serviceable,,FLAMABLE ROOM,37.8,,1555/GRN/SPR/2016,LUBRINDO JAYA,18-Nov-16,BOBBY,POM1127,DN/16-11-1096,N/A,,
COP,PRC SEALENT (120Z),PR1422B1/2,,N/A,,SET,Serviceable,,D1,1,,1555/GRN/SPR/2016,LUBRINDO JAYA,18-Nov-16,BOBBY,POM1127,DN/16-11-1096,N/A,,
COP,BOARD AY TERMINAL,0570315-1,,N/A,,EA,Serviceable,,D3-5,2,,1554/GRN/SPR/2016,YINGLING AVIATION,18-Nov-16,BOBBY,POM1130,INV16-26982,DHL#2905502714,,
COP,COVER,0570316-1,,N/A,,EA,Serviceable,,A3-20,2,,1554/GRN/SPR/2016,YINGLING AVIATION,18-Nov-16,BOBBY,POM1130,INV16-26982,DHL#2905502714,,
COP,LINE ASSY BRAKE,0500118-127,,N/A,,EA,Serviceable,,B4-1,2,,1554/GRN/SPR/2016,YINGLING AVIATION,18-Nov-16,BOBBY,POM1130,INV16-26982,DHL#2905502714,,
COP,LINK,0511336-1,,N/A,,EA,Serviceable,,D3-4,2,,1554/GRN/SPR/2016,YINGLING AVIATION,18-Nov-16,BOBBY,POM1130,INV16-26982,DHL#2905502714,,
COP,NUT,AN315-4R,,N/A,,EA,Serviceable,,A3-3,100,,1554/GRN/SPR/2016,YINGLING AVIATION,18-Nov-16,BOBBY,POM1130,INV16-26982,DHL#2905502714,,
REP,KN62A DME,066-1068-01,,17285,,EA,Serviceable,,E2,1,,1553/GRN/SPR/2016,AUSTRALIAN AVIONICS,15-Nov-16,BOBBY,WOM465,INV/114-026614,DHL#4328946101,,
REP,TRANSPONDER,066-01156-0101,,5907,,EA,Serviceable,,E2,1,,1553/GRN/SPR/2016,AUSTRALIAN AVIONICS,15-Nov-16,BOBBY,WOM464,INV/114-026614,DHL#4328946101,,
COP,CLAMP,A0750161-25,,N/A,,KITS,Serviceable,,A5-1,4,,1552/GRN/SPR/2016,EPIC AVIATION,12-Nov-16,BOBBY,POM1101,INV/16-017012,DHL#1103047385,,
COP,CESSNA CONVERTION KIT,MSC172-40PFW,,N/A,,EA,Serviceable,,D3-10,2,,1551/GRN/SPR/2016,MILSPEC,11-Nov-16,BOBBY,POM1098,INV/42530,DHL#9758065295,,
COP,CONVERSION KIT,MSC172-40PSD,,N/A,,KIT,Serviceable,,D3-10,2,,1551/GRN/SPR/2016,MILSPEC,11-Nov-16,BOBBY,POM1098,INV/42530,DHL#9758065295,,
REP,GNS430,011-00280-10,,97124426,,EA,Serviceable,,G2,1,,1383/GRN/ME/2016,AVTEK,10-Nov-16,BOBBY,WARRANTY CLAIM,DN/AT-1518,DHL#6107391710,,
REP,HINGE AY,0511238-2,,N/A,,EA,Serviceable,,D3-11,1,,1549/GRN/SPR/2016,YINGLING AVIATION,9-Nov-16,BOBBY,POM1123,INV16-26176,DHL#8600553345,,
COP,SPARK PLUG,REM40E,,N/A,,EA,Serviceable,,B2-3,60,,1548/GRN/SPR/2016,AEROSPACE PRODUCT INTERNATIONAL,9-Nov-16,BOBBY,POM1060,INV/0081278605,DHL#2160027030,,
COP,PRESS SWITCH,587-847,,R024040,,EA,Serviceable,,G2,1,,1383/GRN/ME/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1115,INV/9304629918,DHL#1436878402,,
COP,PRESS SWITCH,587-847,,R024030,,EA,Serviceable,,G2,1,,1383/GRN/ME/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1115,INV/9304629918,DHL#1436878402,,
COP,MAIN TYRE,606C66-8,,50862439,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,MAIN TYRE,606C66-8,,51802164,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,MAIN TYRE,606C66-8,,51792169,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,MAIN TYRE,606C66-8,,51792159,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,MAIN TYRE,606C66-8,,51792119,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,MAIN TYRE,606C66-8,,51792114,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,MAIN TYRE,606C66-8,,51782118,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,MAIN TYRE,606C66-8,,51782117,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,MAIN TYRE,606C66-8,,50862451,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,MAIN TYRE,606C66-8,,50862438,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,MAIN TYRE,606C66-8,,50862437,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,MAIN TYRE,606C66-8,,50862434,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,MAIN TYRE,606C66-8,,50862431,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,MAIN TYRE,606C66-8,,50862429,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,MAIN TYRE,606C66-8,,50862422,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,MAIN TYRE,606C66-8,,50862420,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,MAIN TYRE,606C66-8,,50862410,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,MAIN TYRE,606C66-8,,50862407,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,MAIN TYRE,606C66-8,,50852500,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,MAIN TYRE,606C66-8,,50852494,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,NOSE TYRE,505C61-8,,52482180,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,NOSE TYRE,505C61-8,,52382168,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,NOSE TYRE,505C61-8,,52382207,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,NOSE TYRE,505C61-8,,52382210,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,NOSE TYRE,505C61-8,,52382216,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,NOSE TYRE,505C61-8,,52382219,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,NOSE TYRE,505C61-8,,52382228,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,NOSE TYRE,505C61-8,,52472004,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,NOSE TYRE,505C61-8,,52502210,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
COP,NOSE TYRE,505C61-8,,52492333,,EA,Serviceable,,CONTAINER,1,,1546/GRN/SPR/2016,AVIALL PTE LTD,8-Nov-16,BOBBY,POM1121,INV/9304640178,PT.LINTAS DEWATA CARGO,,
ROT,OIL COOLER,8406R/20002A,,11548,,EA,Serviceable,,A5-2,1,,1545/GRN/SPR/2016,N/A,8-Nov-16,BOBBY,N/A,N/A,N/A,,
COP,CABLE,11-05650 FT,,N/A,,FEET,Serviceable,,H4-2,100,,1544/GRN/SPR/2016,AVION LOGISTICS,3-Nov-16,BOBBY,POM1109,INV/970012216,DHL#1106207126,,
COP,CABLE,11-07773 FT,,N/A,,EA,Serviceable,,H4-2,100,,1544/GRN/SPR/2016,AVION LOGISTICS,3-Nov-16,BOBBY,POM1109,INV/970012216,DHL#1106207126,,
COP,HOSE,R221612,,N/A,,CM,Serviceable,,B4-3,50,,1544/GRN/SPR/2016,AVION LOGISTICS,3-Nov-16,BOBBY,POM1116,INV/970012215,DHL#1106207126,,
COP,NIPPLE,AN4022-1,,N/A,,EA,Serviceable,,B3-17,10,,1544/GRN/SPR/2016,AVION LOGISTICS,3-Nov-16,BOBBY,POM1116,INV/970012215,DHL#1106207126,,
REP,GYRO HORIZON,RCA22-11,,215L352,,EA,Serviceable,,C3,1,,1543/GRN/SPR/2016,"NAYLOR'S INSTRUMENT SERVICE, INC.",2-Nov-16,BOBBY,WOM452,INV/8954,DHL#5753935353,,
COP,BEARING,LM67048-20629,,N/A,,EA,Serviceable,,A3-21,3,,1542/GRN/SPR/2016,EPIC AVIATION,2-Nov-16,BOBBY,POM1117,INV/16-016412,DHL#9557884276,,
COP,DETECTOR,1221201-4,,N/A,,EA,Serviceable,,D2-1,2,,1542/GRN/SPR/2016,EPIC AVIATION,2-Nov-16,BOBBY,POM1117,INV/16-016412,DHL#9557884276,,
COP,DISC BRAKE,164-30615-1,,N/A,,EA,Serviceable,,A2-1,4,,1542/GRN/SPR/2016,EPIC AVIATION,2-Nov-16,BOBBY,POM1117,INV/16-016412,DHL#9557884276,,
REP,MUFFELER,0554011-1,,N/A,,EA,Serviceable,,H-5,1,,1541/GRN/SPR/2016,MERPATI MAINTENANCE FACILITY,2-Nov-16,BOBBY,WOM495,DN/102476,PT.POS,,
