GROUP,DESCRIPTION,Part Number,ALT P/N,Serial Number,MIN QTY,Unit,CONDITION,WAREHOUSE,STORES,QTY,EXPIRED DATE,GRN NO,VENDOR,RECEIVED DATE,RECEIVED BY,ORDER NUMBER,REFERENCE NUMBER,AWB NUMBER,REMARK,UNIT VALUE
CONSUMABLE PART,SCREW,MS35206-215,,,0,EA,,WISNU,A3-4,570,,,,,,,,,,0
CONSUMABLE PART,SCREW,MS35206-228,,,0,EA,,WISNU,A3-4,453,,,,,,,,,,0
CONSUMABLE PART,SCREW,MS35206-228,,,0,EA,,WISNU,D3-1,411,,,,,,,,,,0
CONSUMABLE PART,SCREW,MS35206-231,,,0,EA,,WISNU,A3-4,48,,,,,,,,,,0
CONSUMABLE PART,SCREW,MS35206-245,,,0,EA,,WISNU,D3-1,341,,,,,,,,,,0
CONSUMABLE PART,SCREW,MS35206-245,,,0,EA,,WISNU,D3-1,745,,,,,,,,,,0
CONSUMABLE PART,SCREW,MS35207-263,,,0,EA,,WISNU,D2-8,636,,,,,,,,,,0
CONSUMABLE PART,SCREW,MS35207-263,,,0,EA,,WISNU,D3-1,296,,,,,,,,,,0
CONSUMABLE PART,SCREW,MS35214-27,,,0,EA,,WISNU,A3-4,99,,,,,,,,,,0
CONSUMABLE PART,SCREW,MS35214-31,,,0,EA,,WISNU,A3-4,73,,,,,,,,,,0
CONSUMABLE PART,SCREW,MS35214-32,,,0,EA,,WISNU,A3-4,56,,,,,,,,,,0
CONSUMABLE PART,SCREW,MS35265-41,,,0,EA,,WISNU,D3-3,500,,,,,,,,,,0
CONSUMABLE PART,SCREW,NAS 388-10-7E,,,0,EA,,WISNU,D3-3,12,,,,,,,,,,0
CONSUMABLE PART,SCREW,NAS1352-3-10,,,0,EA,,WISNU,A3-4,45,,,,,,,,,,0
CONSUMABLE PART,SCREW,NAS388-10-78,,,0,EA,,WISNU,D3-4,30,,,,,,,,,,0
CONSUMABLE PART,SCREW,NAS388-10-7P,,,0,EA,,WISNU,A3-20,6,,,,,,,,,,0
CONSUMABLE PART,SCREW,NAS514P1032,,,0,EA,,WISNU,A3-4,4,,,,,,,,,,0
CONSUMABLE PART,SCREW,NAS514P1032-14,,,0,EA,,WISNU,A3-4,50,,,,,,,,,,0
CONSUMABLE PART,SCREW,S1021A4-10E,,,0,EA,,WISNU,D2-2,294,,,,,,,,,,0
CONSUMABLE PART,SCREW,S1021A4-6E,,,0,EA,,WISNU,A3-1,639,,,,,,,,,,0
CONSUMABLE PART,SCREW,S1021Z8-8,,,0,EA,,WISNU,A3-1,193,,,,,,,,,,0
CONSUMABLE PART,SCREW,S1021Z8-8,,,0,EA,,WISNU,A3-1,-5,,,,,,,,,,0
CONSUMABLE PART,SCREW,STD1874,,,0,EA,,WISNU,D3-1,20,,,,,,,,,,0
CONSUMABLE PART,SCREW,STD1925,,,0,EA,,WISNU,D3-1,10,,,,,,,,,,0
CONSUMABLE PART,SCREW 2 3/8,089-05534-0036,,,0,EA,,WISNU,C4-2,2,,,,,,,,,,0
CONSUMABLE PART,SCREW 2 3/8,089-05534-0036,,,0,EA,,WISNU,D3-3,10,,,,,,,,,,0
CONSUMABLE PART,SCREW AY,0514027-21,,,0,EA,,WISNU,A2-2,1,,,,,,,,,,0
CONSUMABLE PART,SCREW KIT,MC105,,,0,EA,,WISNU,D3-13,1,,,,,,,,,,0
CONSUMABLE PART,SCREW KIT,SR6-SCREW-KIT,,,0,EA,,WISNU,D3-9,1,,,,,,,,,,0
CONSUMABLE PART,SEAL,06A23493,,,0,EA,,WISNU,D3-4,12,,,,,,,,,,0
CONSUMABLE PART,SEAL,0700322-4,,,0,EA,,WISNU,D2-15,19,,,,,,,,,,0
CONSUMABLE PART,SEAL,70310,,,0,EA,,WISNU,D3-3,14,,,,,,,,,,0
CONSUMABLE PART,SEAL,LW13792,,,0,EA,,WISNU,D3-3,6,,,,,,,,,,0
CONSUMABLE PART,SEAL DOOR,36722-004,,,0,EA,,WISNU,B3-11,3,,,,,,,,,,0
CONSUMABLE PART,SEAL GREASE,154-12400,,,0,EA,,WISNU,B3-12,10,,,,,,,,,,0
CONSUMABLE PART,SEAL POLY PAK,A2748,,,0,EA,,WISNU,B3-11,30,,,,,,,,,,0
CONSUMABLE PART,SEAL SHROUD TUBE,LW18661,,,0,EA,,WISNU,D3-4,40,,,,,,,,,,0
CONSUMABLE PART,SEALANT,PR-1422B 1/2,,,0,EA,,WISNU,D1,0,,,,,,,,,,0
CONSUMABLE PART,SEALANT,U554426,,,0,EA,,WISNU,B4-2,25,,,,,,,,,,0
CONSUMABLE PART,SEALANT,U554426,,,0,FT,,WISNU,B4-2,10,,,,,,,,,,0
CONSUMABLE PART,SEAT BELTS,13-00401,,,0,FT,,WISNU,C4-2,3,,,,,,,,,,0
CONSUMABLE PART,SEAT BELTS,504516-401-8013,,,0,EA,,WISNU,C4-2,2,,,,,,,,,,0
CONSUMABLE PART,SEAT RAIL,00514209-4,,,0,EA,,WISNU,D4,1,,,,,,,,,,0
CONSUMABLE PART,SEAT RAIL,0514209-1,,,0,EA,,WISNU,D4,2,,,,,,,,,,0
CONSUMABLE PART,SEAT RAIL,0514209-3,,,0,EA,,WISNU,D4,1,,,,,,,,,,0
CONSUMABLE PART,SEAT RAIL,051479-1S,,,0,EA,,WISNU,D4,2,,,,,,,,,,0
CONSUMABLE PART,SEAT RAIL,MC241002-1,,,0,EA,,WISNU,D4,6,,,,,,,,,,0
CONSUMABLE PART,SEAT RAIL,MC241002-2,,,0,EA,,WISNU,D4,7,,,,,,,,,,0
CONSUMABLE PART,SEAT RAIL (BAR DESIGN),MC0511242-1,,,0,EA,,WISNU,D3-11,34,,,,,,,,,,0
CONSUMABLE PART,SEAT RAIL WEAR GAUGE,SR1,,,0,EA,,WISNU,D3-9,1,,,,,,,,,,0
CONSUMABLE PART,SEAT ROLLER, HOUSING GAUGE,TOOL110,,,0,EA,,WISNU,D3-9,1,,,,,,,,,
CONSUMABLE PART,SEAT STOP,MC0713074-1,,,0,EA,,WISNU,D3-3,4,,,,,,,,,,0
CONSUMABLE PART,SEAT STOP,SK210-174B,,,0,EA,,WISNU,B4-2,3,,,,,,,,,,0
CONSUMABLE PART,SEAT STOP KIT,05-00580,,,0,EA,,WISNU,D3-11,10,,,,,,,,,,0
CONSUMABLE PART,SEAT STOP KIT,05-00581,,,0,EA,,WISNU,D3-11,20,,,,,,,,,,0
CONSUMABLE PART,SELF LOCKING NUT,MS21044N3,,,0,EA,,WISNU,A3-3,110,,,,,,,,,,0
CONSUMABLE PART,SENDER,486-483,,44694,0,EA,,WISNU,G2,1,,,,,,,,,,0
CONSUMABLE PART,SENDER,486-483,,44695,0,EA,,WISNU,G2,1,,,,,,,,,,0
