No.,MS#,MS Date,Aircraft,Description,Part Number,Serial Number,Qty,Unit,Warehouse,Stores,Req. Reference,Remark
"1,168",3942/MS/SPR/2016,19-Oct-16,PK-ROA,COTTER PIN,MS24665-134,N/A,2,EA,WISNU,A3-10,N/A,
"1,169",3942/MS/SPR/2016,19-Oct-16,PK-ROA,OIL FILTER,CH48110-1,N/A,1,EA,WISNU,WISNU,N/A,
"1,170",3942/MS/SPR/2016,19-Oct-16,PK-ROS,OIL ENGINE,AS100,N/A,8,QTS,WISNU,FLAMABLE ROOM,N/A,
"1,171",3942/MS/SPR/2016,17-Oct-16,PK-ROO,LAMP,4587,N/A,1,EA,WISNU,B3-3,N/A,
"1,172",3942/MS/SPR/2016,17-Oct-16,PK-ROL,RIVET,CCP-94,N/A,4,EA,WISNU,D3-9,bracket couling ripaer,
"1,173",3942/MS/SPR/2016,17-Oct-16,PK-ROL,OIL FILTER,CH48110-1,N/A,1,EA,WISNU,WISNU,N/A,
"1,174",3942/MS/SPR/2016,19-Oct-16,PK-ROL,OIL ENGINE,ASW100+,N/A,8,LITER,WISNU,FLAMABLE ROOM,50 HRS INSP,
"1,175",3942/MS/SPR/2016,17-Oct-16,PK-ROS,SCREW,AN525-832R7,N/A,10,EA,WISNU,A3-4,N/A,
"1,176",3942/MS/SPR/2016,17-Oct-16,PK-ROO,SWITCH PTT,S2870-1,N/A,1,EA,WISNU,A2-4,N/A,
"1,177",3942/MS/SPR/2016,17-Oct-16,PK-ROD,OIL ENGINE,ASW100+,N/A,8,LITER,WISNU,FLAMABLE ROOM,N/A,
"1,178",3942/MS/SPR/2016,17-Oct-16,PK-ROS,COTTER PIN,MS24665-134,N/A,2,EA,WISNU,A3-10,N/A,
"1,179",3942/MS/SPR/2016,17-Oct-16,PK-ROD,OIL FILTER,CH48110-1,N/A,1,EA,WISNU,WISNU,N/A,
"1,180",3942/MS/SPR/2016,17-Oct-16,PK-ROA,CARBURETOR HEAT CONTROL,MCS1230-17,N/A,1,EA,WISNU,D4,N/A,
"1,181",3942/MS/SPR/2016,17-Oct-16,PK-ROL,SPRING,0711021-9,N/A,2,EA,WISNU,B3-15,N/A,
"1,182",3942/MS/SPR/2016,15-Oct-16,PK-ROS,AIR FILTER,BA6108,N/A,1,EA,WISNU,WISNU,NEW ENGINE,
"1,183",3942/MS/SPR/2016,15-Oct-16,PK-ROS,OIL ENGINE,AS100,N/A,8,QTS,WISNU,FLAMABLE ROOM,N/A,
"1,184",3942/MS/SPR/2016,15-Oct-16,PK-ROS,O RING,MS29513-138,N/A,1,EA,WISNU,B3-20,N/A,
"1,185",3942/MS/SPR/2016,15-Oct-16,PK-ROS,HOSE AY,AE7013106H0306,N/A,2,EA,WISNU,B4-2,N/A,
"1,186",3942/MS/SPR/2016,15-Oct-16,PK-ROS,BAFFLE SEAL,VISR3640,N/A,0.13,FT,WISNU,WISNU,N/A,
"1,187",3942/MS/SPR/2016,15-Oct-16,PK-ROC,NUT,094-15200,N/A,1,EA,WISNU,A3-3,N/A,
"1,188",3942/MS/SPR/2016,15-Oct-16,PK-ROS,SCREW,AN525-10R7,N/A,5,EA,WISNU,D3-1,N/A,
"1,189",3942/MS/SPR/2016,15-Oct-16,PK-ROS,SCREW,AN525-10R8,N/A,5,EA,WISNU,D3-1,N/A,
"1,190",3942/MS/SPR/2016,15-Oct-16,PK-ROC,GREASE  SEAL FELT,154-30010,N/A,1,EA,WISNU,B3-12,N/A,
"1,191",3942/MS/SPR/2016,18-Oct-16,PK-ROC,MULTI PURPOSE FLUID (AEROSHELL FLUID 3),MIL-PRF-7870,N/A,1,LITER,WISNU,WISNU,N/A,
"1,192",3942/MS/SPR/2016,15-Oct-16,PK-ROS,RIVET ROUND,MS20470AD3-4A,N/A,30,EA,WISNU,D3-12,REPAIR BUFFEL ENGINE,
"1,193",3942/MS/SPR/2016,15-Oct-16,PK-ROS,NUT,MS21083N3,N/A,4,EA,WISNU,A3-3,N/A,
"1,194",3942/MS/SPR/2016,15-Oct-16,PK-ROS,WASHER,NAS1149F0332P,N/A,4,EA,WISNU,A3-6,N/A,
"1,195",3942/MS/SPR/2016,5-Dec-16,N/A,RIVET,MS20470AD5-10,N/A,5,EA,WISNU,D3-13,AIR BOX REPAIR,
"1,196",3942/MS/SPR/2016,15-Oct-16,PK-ROC,RIVET,105-00200,N/A,4,EA,WISNU,A3-14,N/A,
"1,197",3942/MS/SPR/2016,5-Dec-16,N/A,RIVET,MS20426AD4-6A,N/A,10,EA,WISNU,D3-13,AIR BOX REPAIR,
"1,198",3942/MS/SPR/2016,15-Oct-16,PK-ROC,BRAKE LINNING,066-10500,N/A,2,EA,WISNU,A3-14,200 SP INSP,
"1,199",3942/MS/SPR/2016,15-Oct-16,PK-ROC,PACKING,MS28775-224,N/A,1,EA,WISNU,A2-8,N/A,
"1,200",3942/MS/SPR/2016,15-Oct-16,PK-ROC,COTTER PIN,MS24665-360,N/A,2,EA,WISNU,A3-10,N/A,
"1,201",3942/MS/SPR/2016,15-Oct-16,PK-ROC,COTTER PIN,MS24665-134,N/A,2,EA,WISNU,A3-10,100 HI,
"1,202",3942/MS/SPR/2016,15-Oct-16,PK-ROC,GARTER FILTER,ARB3-5-1,N/A,1,EA,WISNU,WISNU,100 HI,
"1,203",3942/MS/SPR/2016,15-Oct-16,PK-ROC,AIR FILTER,BA6108,N/A,1,EA,WISNU,WISNU,100 HI,
"1,204",3942/MS/SPR/2016,15-Oct-16,PK-ROC,OIL FILTER,CH48110-1,N/A,1,EA,WISNU,WISNU,100 HI,
"1,205",3942/MS/SPR/2016,15-Oct-16,N/A,OIL ENGINE,ASW100+,N/A,8,LITER,WISNU,FLAMABLE ROOM,N/A,
"1,206",3942/MS/SPR/2016,15-Oct-16,N/A,OIL ENGINE,ASW100+,N/A,12,LITER,WISNU,FLAMABLE ROOM,N/A,
"1,207",3942/MS/SPR/2016,14-Oct-16,PK-ROS,CLAMP,CK100,N/A,1,EA,WISNU,A5-1,N/A,
"1,208",3942/MS/SPR/2016,14-Oct-16,PK-ROS,SELF LOCKING NUT,MS21044N3,N/A,1,EA,WISNU,A3-3,N/A,
"1,209",3942/MS/SPR/2016,14-Oct-16,PK-ROS,SCREW,AN525-832R7,N/A,16,EA,WISNU,A3-4,N/A,
"1,210",3942/MS/SPR/2016,14-Oct-16,PK-ROS,SCREW,AN525-10R7,N/A,3,EA,WISNU,D3-1,N/A,
"1,211",3942/MS/SPR/2016,14-Oct-16,PK-ROS,CLAMP,CK100,N/A,1,EA,WISNU,A5-1,LEAK RISER,
"1,212",3942/MS/SPR/2016,14-Oct-16,PK-ROS,RISER,9954100-6F,ITU07-0003,1,EA,WISNU,A5-1,LEAK RISER,
"1,213",3942/MS/SPR/2016,14-Oct-16,PK-ROS,COTTER PIN,MS24665-134,N/A,3,EA,WISNU,A3-10,N/A,
"1,214",3942/MS/SPR/2016,14-Oct-16,PK-ROS,RIVET,MS20470AD4-6,N/A,1,EA,WISNU,D3-12,BUFFLE RIPAER,
"1,215",3942/MS/SPR/2016,14-Oct-16,PK-ROS,AIR BOX,0552164-4,N/A,1,EA,WISNU,D1,N/A,
"1,216",3942/MS/SPR/2016,14-Oct-16,PK-ROS,TERMINAL,31890,N/A,2,EA,WISNU,D3-5,N/A,
"1,217",3942/MS/SPR/2016,14-Oct-16,PK-ROS,NUT,AN315-4R,N/A,4,EA,WISNU,A3-3,N/A,
"1,218",3942/MS/SPR/2016,14-Oct-16,PK-ROS,STUD,0550198-1,N/A,4,EA,WISNU,A3-8,N/A,
"1,219",3942/MS/SPR/2016,14-Oct-16,PK-ROS,NIPPLE,MS25171-3S,N/A,1,EA,WISNU,D2-3,N/A,
"1,220",3942/MS/SPR/2016,14-Oct-16,PK-ROO,COTTER PIN,MS24665-134,N/A,2,EA,WISNU,A3-10,N/A,
"1,221",3942/MS/SPR/2016,14-Oct-16,PK-ROS,RIVET,MS20470AD3-3A,N/A,25,EA,WISNU,D3-13,REPAIR AELERON,
"1,222",3942/MS/SPR/2016,14-Oct-16,PK-ROR,PACKING,MS28775-011,N/A,1,EA,WISNU,A2-8,N/A,
"1,223",3942/MS/SPR/2016,14-Oct-16,PK-ROS,RIVET,S2906-4-2,N/A,10,EA,WISNU,D3-9,REPAIR AELERON,
"1,224",3942/MS/SPR/2016,10-Oct-16,PK-ROO,COTTER PIN,MS24665-360,N/A,1,EA,WISNU,A3-10,N/A,
"1,225",3942/MS/SPR/2016,13-Oct-16,N/A,UNDERCUT COMPORT-GEL EAR SEALS,40863G-02,N/A,1,PAIR,WISNU,D2-6,HEAD SET DAVID CLARK,
"1,226",3942/MS/SPR/2016,13-Oct-16,PK-ROS,COTTER PIN,MS24665-360,N/A,1,EA,WISNU,A3-10,N/A,
"1,227",3942/MS/SPR/2016,13-Oct-16,PK-ROS,NUT,MS20365-720C,N/A,4,EA,WISNU,A3-1,N/A,
"1,228",3942/MS/SPR/2016,15-Oct-16,PK-ROS,WASHER,A-1638-11,N/A,4,EA,WISNU,FLAMABLE ROOM,N/A,
"1,229",3942/MS/SPR/2016,13-Oct-16,PK-ROS,BOLT,AN7-44A,N/A,2,EA,WISNU,A3-12,N/A,
"1,230",3942/MS/SPR/2016,13-Oct-16,PK-ROS,BOLT,AN7-45A,N/A,2,EA,WISNU,A3-13,N/A,
"1,231",3942/MS/SPR/2016,13-Oct-16,PK-ROS,KIT SHOCK MOUNT,J23502-1,N/A,1,KIT,WISNU,A4-1,N/A,
"1,232",3942/MS/SPR/2016,13-Oct-16,PK-ROS,AIRCRAFT ENGINE,O-320-D2J,L-14261-39E,1,EA,WISNU,WISNU,N/A,
"1,233",3942/MS/SPR/2016,13-Oct-16,PK-ROO,DISC BRAKE,164-30615-1,N/A,1,EA,WISNU,A2-1,N/A,
"1,234",3942/MS/SPR/2016,13-Oct-16,PK-ROS,COTTER PIN,MS24665-134,N/A,2,EA,WISNU,A3-10,N/A,
"1,235",3942/MS/SPR/2016,13-Oct-16,PK-ROS,COTTER PIN,MS24665-360,N/A,2,EA,WISNU,A3-10,N/A,
"1,236",3942/MS/SPR/2016,13-Oct-16,PK-ROO,LAMP,4594,N/A,1,EA,WISNU,E4,N/A,
"1,237",3942/MS/SPR/2016,12-Oct-16,PK-ROW,SCREW,MS27039-1-08,N/A,6,EA,WISNU,D3-1,N/A,
"1,238",3942/MS/SPR/2016,11-Oct-16,N/A,NAV/COMM RT385A,46660-1000,31605,1,EA,WISNU,E2,N/A,
"1,239",3942/MS/SPR/2016,11-Oct-16,PK-ROW,PACKING,MS28775-012,N/A,1,EA,WISNU,A2-8,N/A,
"1,240",3942/MS/SPR/2016,11-Oct-16,PK-ROW,OIL ENGINE,ASW100+,N/A,14,LITER,WISNU,FLAMABLE ROOM,50 HRS INSP,
"1,241",3942/MS/SPR/2016,11-Oct-16,PK-ROW,OIL FILTER,CH48103-1,N/A,2,EA,WISNU,G4,N/A,
"1,242",3942/MS/SPR/2016,10-Oct-16,PK-ROP,NAV/COMM RT385A,46660-1000,20425,1,EA,WISNU,E3,N/A,
"1,243",3942/MS/SPR/2016,10-Oct-16,PK-ROC,LAMP,MS25309-7512,N/A,1,EA,WISNU,B3-8,N/A,
"1,244",3942/MS/SPR/2016,5-Dec-16,PK-ROL,LAMP,307,N/A,1,EA,WISNU,B3-3,N/A,
"1,245",3942/MS/SPR/2016,9-Nov-16,PK-ROO,RIVET,CCP-54,N/A,2,EA,BANYUWANGI,BWI,TROUBLE SHOOTING,
"1,246",3942/MS/SPR/2016,2-Dec-16,PK-ROW,FITTING ALLUMUNIUM CAP,04-03481,N/A,2,EA,WISNU,D3-2,N/A,
"1,247",3942/MS/SPR/2016,9-Nov-16,PK-ROK,GASKET INTAKE,71973,N/A,1,EA,BANYUWANGI,BWI,INSPECTION 200 SP,
"1,248",3942/MS/SPR/2016,9-Nov-16,PK-ROK,COTTER PIN,MS24665-132,N/A,2,EA,BANYUWANGI,BWI,INSPECTION 200 HI,
"1,249",3942/MS/SPR/2016,9-Nov-16,PK-ROK,COTTER PIN,MS24665-360,N/A,2,EA,BANYUWANGI,BWI,INSPECTION 200 HI,
"1,250",3942/MS/SPR/2016,9-Nov-16,PK-ROK,VACUMP FILTER,AAD9-18-1,N/A,1,EA,BANYUWANGI,BWI,INSPECTION 200 SP,
"1,251",3942/MS/SPR/2016,9-Nov-16,PK-ROK,GARTER FILTER,ARB3-5-1,N/A,1,EA,BANYUWANGI,BWI,INSPECTION 200 SP,
"1,252",3942/MS/SPR/2016,9-Nov-16,PK-ROK,AIR FILTER,BA6108,N/A,1,EA,BANYUWANGI,BWI,INSPECTION 200 SP,
"1,253",3942/MS/SPR/2016,9-Nov-16,PK-ROK,OIL FILTER,CH48110-1,N/A,1,EA,BANYUWANGI,BWI,INSPECTION 200 SP,
"1,254",3942/MS/SPR/2016,9-Nov-16,PK-ROK,OIL ENGINE,ASW100+,N/A,8,LITER,BANYUWANGI,BWI,INSPECTION 200 SP,
"1,255",3942/MS/SPR/2016,9-Nov-16,PK-ROT,OIL ENGINE,ASW100+,N/A,2,LITER,BANYUWANGI,BWI,DAILY SERVICE,
"1,256",3942/MS/SPR/2016,8-Nov-16,PK-ROT,SCREW,AN525-832R7,N/A,1,EA,BANYUWANGI,BWI,INSPECTION 100 HI,
