"No.","Stores","Warehouse","Category","Description","Last Update"
"155","D5-15","WISNU","SPARE PART","","December 17, 2016"
"156","E","WISNU","SPARE PART","","December 17, 2016"
"157","E1","WISNU","SPARE PART","","December 17, 2016"
"158","E2","WISNU","SPARE PART","","December 17, 2016"
"159","E3","WISNU","SPARE PART","","December 17, 2016"
"160","E4","WISNU","SPARE PART","","December 17, 2016"
"161","E5","WISNU","SPARE PART","","December 17, 2016"
"162","F","WISNU","SPARE PART","","December 17, 2016"
"163","F1","WISNU","SPARE PART","","December 17, 2016"
"164","F2","WISNU","SPARE PART","","December 17, 2016"
"165","F3","WISNU","SPARE PART","","December 17, 2016"
"166","F4","WISNU","SPARE PART","","December 17, 2016"
"167","F5","WISNU","SPARE PART","","December 17, 2016"
"168","FLAMABLE ROOM","WISNU","SPARE PART","","December 17, 2016"
"169","G1","WISNU","SPARE PART","","December 17, 2016"
"170","G1-1","WISNU","SPARE PART","","December 17, 2016"
"171","G2","WISNU","SPARE PART","","December 17, 2016"
"172","G3","WISNU","SPARE PART","","December 17, 2016"
"173","G4","WISNU","SPARE PART","","December 17, 2016"
"174","G5","WISNU","SPARE PART","","December 17, 2016"
"175","H-5","WISNU","SPARE PART","","December 17, 2016"
"176","H1-4","WISNU","SPARE PART","","December 17, 2016"
"177","H4-2","WISNU","SPARE PART","","December 17, 2016"
"178","I4-1","WISNU","SPARE PART","","December 17, 2016"
"179","I5-2","WISNU","SPARE PART","","December 17, 2016"
"180","JEMBER","JEMBER","SPARE PART","","December 17, 2016"
"181","LOMBOK","LOMBOK","SPARE PART","","December 17, 2016"
"182","QUARANTINE","WISNU","SPARE PART","","December 17, 2016"
"183","SOLO","SOLO","SPARE PART","","December 17, 2016"
"184","SPECIAL","WISNU","SPARE PART","","December 17, 2016"
"185","SPECIAL TOOLS","WISNU","SPARE PART","","December 17, 2016"
"186","TOOLS","WISNU","SPARE PART","","December 17, 2016"
"187","WISNU","WISNU","SPARE PART","","December 17, 2016"
